location_id,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados-ss,autonomos,empresas,personas-paradas,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-principales
28022,Boadilla del Monte,boadilla-del-monte,40.4122794,-3.8887699,29031,4527,4875,1466,49762,49598,36749,16380,14504
28152,Torrelodones,torrelodones,40.5766078,-3.9293646,6427,1956,2180,730,23123,45691,34248,8253,6962
28104,Paracuellos de Jarama,paracuellos-de-jarama,40.5056034,-3.5302108,5908,1475,1537,822,23104,37245,28974,7244,6976
28079,Madrid,madrid,40.4167754,-3.7037902,1913935,185530,287918,174212,3165541,34837,27129,1530957,1320531
28162,Valdeolmos-Alalpardo,valdeolmos-alalpardo,40.641084,-3.453025,972,330,292,166,3880,33094,26137,1870,1254
28090,Moralzarzal,moralzarzal,40.6763507,-3.9704867,2303,783,780,582,12372,33015,26097,6045,4263
28026,Brunete,brunete,40.4043103,-3.9993244,2519,788,744,510,10374,29486,23644,4086,3402
28108,Pedrezuela,pedrezuela,40.744654,-3.6027866,953,358,347,331,5456,28367,22786,3039,1959
28047,Collado Villalba,collado-villalba,40.6308775,-4.0055605,13462,3197,3693,4177,61597,26194,21288,27741,22055
28005,Alcalá de Henares,alcala-de-henares,40.4819791,-3.3635421,56240,8070,8727,13013,195907,25958,21234,78917,71864
28161,Valdemoro,valdemoro,40.1912403,-3.6740182,20640,3732,3874,4648,72988,25956,21255,27598,24839
28013,Aranjuez,aranjuez,40.0305018,-3.6040527,13861,2682,2730,4276,57932,25661,21032,24792,20040
28175,Villamantilla,villamantilla,40.3418042,-4.1302671,210,100,70,102,1334,25525,20773,737,450
28086,"Molar, El",molar-el-madrid,40.452722,-3.70687,1298,519,485,514,8263,23736,19491,3491,2991
28148,Torrejón de Ardoz,torrejon-de-ardoz,40.4567552,-3.4754967,31791,6075,5729,8886,126981,23510,19473,49209,44581
28012,Anchuelo,anchuelo,40.4647291,-3.2690503,163,88,63,68,1215,22248,18507,603,461
28109,Pelayos de la Presa,pelayos-de-la-presa,40.3588183,-4.3344973,439,142,176,265,2471,20984,17622,2975,955
28008,Aldea del Fresno,aldea-del-fresno,40.3208765,-4.1987434,448,132,134,255,2584,20626,17421,1989,975
28080,Majadahonda,majadahonda,40.4737586,-3.8683123,30841,5151,6292,2304,70755,48493,36173,24645,23069
28903,Tres Cantos,tres-cantos,40.600727,-3.7079745,35323,2333,3206,1670,44764,40004,30556,14458,13306
28181,Villaviciosa de Odón,villaviciosa-de-odon,40.3626807,-3.9139109,10612,2860,3222,945,27276,39624,30563,11751,9166
28177,Villanueva del Pardillo,villanueva-del-pardillo,40.4932122,-3.964887,3393,1201,1196,673,16950,35298,27451,5894,5387
28144,Soto del Real,soto-del-real,40.7528628,-3.7816093,2260,670,567,367,8483,33973,26539,5214,2316
28123,Rivas-Vaciamadrid,rivas-vaciamadrid,40.3519065,-3.5357334,22820,5747,5127,4176,82715,30744,24449,25374,24663
28018,Becerril de la Sierra,becerril-de-la-sierra,40.7102483,-3.9954969,996,472,459,326,5439,30594,24283,4128,1977
28172,Villalbilla,villalbilla,40.4329592,-3.3005573,2598,1079,875,642,12719,30278,24142,5680,3740
28087,"Molinos, Los",molinos-los,40.4579662,-3.7032858,727,333,311,262,4373,30039,23827,2871,1642
28149,Torrejón de la Calzada,torrejon-de-la-calzada,40.1969481,-3.7981283,4979,742,662,455,8171,28127,22725,2786,2501
28068,Guadarrama,guadarrama,40.6731798,-4.0875528,3511,1011,1032,768,15488,27314,22118,9539,5967
28002,Ajalvir,ajalvir,40.5302674,-3.4839237,3995,278,597,192,4440,26525,21494,1564,1533
28067,Guadalix de la Sierra,guadalix-de-la-sierra,40.7860007,-3.6952896,813,435,337,458,5982,25799,20865,3533,2101
28140,Serranillos del Valle,serranillos-del-valle,40.2056183,-3.8833494,1066,413,335,258,3990,25003,20571,1566,1163
28130,San Fernando de Henares,san-fernando-de-henares,40.4256038,-3.5318722,21403,2226,2589,2486,40095,23936,19724,15304,14596
28089,Moraleja de Enmedio,moraleja-de-enmedio,40.2596189,-3.8606776,2138,514,533,288,4984,23587,19576,1779,1623
28036,Casarrubuelos,casarrubuelos,40.1709362,-3.8318182,802,240,244,236,3589,22596,18900,1240,1076
28116,Pozuelo del Rey,pozuelo-del-rey,40.3665441,-3.3206352,138,77,75,70,1073,22484,18762,579,408
28132,San Martín de la Vega,san-martin-de-la-vega,40.2103049,-3.5787384,4494,1113,1116,1397,18734,22123,18511,7553,6736
28004,"Álamo, El",alamo-el,40.2312091,-3.9942211,1694,639,615,685,9017,21910,18354,4087,2916
28147,Titulcia,titulcia,40.1377552,-3.5698814,181,88,64,93,1258,21341,18005,679,467
28091,Morata de Tajuña,morata-de-tajuna,40.2299024,-3.4372149,1123,459,327,603,7548,20730,17475,3394,2673
28180,Villarejo de Salvanés,villarejo-de-salvanes,40.1681485,-3.275967,2215,469,376,561,7265,20270,17190,3740,2615
28052,Chinchón,chinchon,40.1402665,-3.4221687,1388,407,367,364,5294,20156,16866,3045,1969
28110,Perales de Tajuña,perales-de-tajuna,40.2324096,-3.3514863,464,200,166,281,2799,19920,16775,1579,1007
28171,Villa del Prado,villa-del-prado,40.2774375,-4.3048305,1652,447,291,467,6295,19782,16834,4596,2214
28019,Belmonte de Tajo,belmonte-de-tajo,40.1344349,-3.3376324,219,112,65,87,1605,18807,16082,967,633
28031,Cadalso de los Vidrios,cadalso-de-los-vidrios,40.3015944,-4.4426499,495,171,188,358,2788,17971,15339,2862,1123
28055,Estremera,estremera,40.1836518,-3.107101,815,94,67,85,1319,16589,14447,957,492
28176,Villanueva de la Cañada,villanueva-de-la-canada,40.4481075,-3.9975566,6446,1803,1828,691,19611,44705,33691,8385,5718
28169,Venturada,venturada,40.7990504,-3.6224135,404,202,162,81,2014,42127,31899,1332,707
28041,Cobeña,cobena,40.5683393,-3.5040753,1542,495,434,273,7009,38100,29465,2764,2217
28009,Algete,algete,40.5964617,-3.5016452,8069,1468,1761,994,20311,36747,28439,7951,6570
28160,Valdemorillo,valdemorillo,40.4882928,-4.0337846,2527,1024,1039,679,12168,33196,26205,7054,4412
28061,Galapagar,galapagar,40.5768377,-4.0058027,5635,2428,2326,1784,32404,32007,25221,15187,11187
