location_id,stillworkers,total_workers,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados_ss,autonomos,empresas,personas_paradas,poblacion,renta_bruta_media,renta_disponible_media,viviendas_familiares,viviendas_principales,movingworkers,pob_psactiva,tasa_movilidad
19024,NA,1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19046,NA,4558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19058,NA,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19071,NA,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19105,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19117,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19126,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19130,NA,6183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19160,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19171,NA,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19220,NA,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19225,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19230,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19280,NA,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19286,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19297,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19300,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19319,NA,991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19326,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19331,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28001,5,15,"Acebeda, La",acebeda-la,40.3405608,-3.7170023,14,6,6,5,66,NA,NA,147,34,10,20,0.6666666666666666
28002,417,1686,Ajalvir,ajalvir,40.5302674,-3.4839237,3995,278,597,192,4440,26525,21494,1564,1533,1269,1878,0.7526690391459074
28003,10,72,Alameda del Valle,alameda-del-valle,40.9187866,-3.8439011,52,16,18,9,208,NA,NA,393,113,62,81,0.8611111111111112
28004,453,2440,"Álamo, El",alamo-el,40.2312091,-3.9942211,1694,639,615,685,9017,21910,18354,4087,2916,1987,3125,0.8143442622950819
28005,25793,63876,Alcalá de Henares,alcala-de-henares,40.4819791,-3.3635421,56240,8070,8727,13013,195907,25958,21234,78917,71864,38083,76889,0.5962020164067882
28006,13949,42012,Alcobendas,alcobendas,40.5372512,-3.6372245,109424,6769,9710,5027,113340,47052,35002,41180,39101,28063,47039,0.6679758164334
28007,12621,58545,Alcorcón,alcorcon,40.3468454,-3.8278443,45991,7834,8744,9873,167354,25700,21042,70857,66066,45924,68418,0.7844222393031002
28008,124,658,Aldea del Fresno,aldea-del-fresno,40.3208765,-4.1987434,448,132,134,255,2584,20626,17421,1989,975,534,913,0.8115501519756839
28009,1260,7220,Algete,algete,40.5964617,-3.5016452,8069,1468,1761,994,20311,36747,28439,7951,6570,5960,8214,0.8254847645429363
28010,578,4859,Alpedrete,alpedrete,40.6621635,-4.031169,2775,1012,1095,668,14417,31015,24632,7249,4910,4281,5527,0.8810454826095905
28011,22,151,Ambite,ambite,40.3283739,-3.1823592,72,32,29,70,595,NA,NA,736,261,129,221,0.8543046357615894
28012,31,365,Anchuelo,anchuelo,40.4647291,-3.2690503,163,88,63,68,1215,22248,18507,603,461,334,433,0.915068493150685
28013,7323,15597,Aranjuez,aranjuez,40.0305018,-3.6040527,13861,2682,2730,4276,57932,25661,21032,24792,20040,8274,19873,0.530486632044624
28014,7385,18488,Arganda del Rey,arganda-del-rey,40.3064463,-3.4479063,22063,3072,3670,4392,54256,22952,19057,20458,18925,11103,22880,0.6005517092167892
28015,1160,10315,Arroyomolinos,arroyomolinos-madrid,40.2783308,-3.9215541,8014,2255,1846,1419,28177,28910,23223,10043,7813,9155,11734,0.887542413960252
28016,8,34,"Atazar, El",atazar-el,40.3988486,-3.6861415,12,0,0,7,95,NA,NA,70,41,26,41,0.7647058823529411
28017,27,455,Batres,batres,40.2098126,-3.9199616,217,141,124,105,1582,25892,21040,993,526,428,560,0.9406593406593406
28018,282,1601,Becerril de la Sierra,becerril-de-la-sierra,40.7102483,-3.9954969,996,472,459,326,5439,30594,24283,4128,1977,1319,1927,0.8238600874453467
28019,75,523,Belmonte de Tajo,belmonte-de-tajo,40.1344349,-3.3376324,219,112,65,87,1605,18807,16082,967,633,448,610,0.8565965583173997
28020,19,51,Berzosa del Lozoya,berzosa-del-lozoya,40.9755539,-3.5236688,53,7,12,15,198,NA,NA,171,85,32,66,0.6274509803921569
28021,41,180,"Berrueco, El",berrueco-el,40.8893089,-3.5629234,131,40,38,46,752,NA,NA,831,255,139,226,0.7722222222222223
28022,2588,16023,Boadilla del Monte,boadilla-del-monte,40.4122794,-3.8887699,29031,4527,4875,1466,49762,49598,36749,16380,14504,13435,17489,0.8384821818635712
28023,312,2405,"Boalo, El",boalo-el,40.3659918,-3.6161069,1491,604,504,411,7225,30023,23854,4283,2678,2093,2816,0.8702702702702703
28024,9,67,Braojos,braojos,41.0402585,-3.6429982,45,24,18,12,201,NA,NA,238,86,58,79,0.8656716417910447
28025,39,145,Brea de Tajo,brea-de-tajo,40.2295666,-3.1096078,473,33,15,60,560,NA,NA,474,199,106,205,0.7310344827586207
28026,517,3517,Brunete,brunete,40.4043103,-3.9993244,2519,788,744,510,10374,29486,23644,4086,3402,3e3,4027,0.8529997156667615
28027,205,547,Buitrago del Lozoya,buitrago-del-lozoya,40.989823,-3.6383114,472,147,137,93,1861,23268,19393,1233,740,342,640,0.6252285191956124
28028,147,752,Bustarviejo,bustarviejo,40.857568,-3.7092432,451,186,176,180,2370,25106,20344,2409,952,605,932,0.8045212765957447
28029,40,235,Cabanillas de la Sierra,cabanillas-de-la-sierra,40.8187877,-3.6246658,120,45,52,33,719,NA,NA,628,310,195,268,0.8297872340425532
28030,215,779,"Cabrera, La",cabrera-la,40.47253,-3.72044,506,194,188,146,2560,23785,19576,1722,915,564,925,0.72400513478819
28031,223,649,Cadalso de los Vidrios,cadalso-de-los-vidrios,40.3015944,-4.4426499,495,171,188,358,2788,17971,15339,2862,1123,426,1007,0.6563944530046225
28032,297,2174,Camarma de Esteruelas,camarma-de-esteruelas,40.5474107,-3.3766851,2264,505,550,454,7050,25528,20921,2903,2424,1877,2628,0.8633854645814167
28033,367,1927,Campo Real,campo-real,40.3390034,-3.3833163,1544,472,460,457,5888,23221,19114,2844,2087,1560,2384,0.809548521017125
28034,27,120,Canencia,canencia,40.9070688,-3.7397005,100,37,33,30,451,NA,NA,692,217,93,150,0.775
28035,61,547,Carabaña,carabana,40.2567009,-3.2376227,265,127,114,152,1948,20306,17245,1649,789,486,699,0.8884826325411335
28036,143,1165,Casarrubuelos,casarrubuelos,40.1709362,-3.8318182,802,240,244,236,3589,22596,18900,1240,1076,1022,1401,0.8772532188841202
28037,113,418,Cenicientos,cenicientos,40.2624728,-4.4658148,231,98,93,225,1986,15844,13896,1986,824,305,643,0.7296650717703349
28038,642,2195,Cercedilla,cercedilla,40.7406497,-4.0568488,1712,500,484,376,6751,26191,21224,5038,2713,1553,2571,0.7075170842824602
28039,7,42,Cervera de Buitrago,cervera-de-buitrago,40.9218597,-3.5300444,30,6,8,8,157,NA,NA,215,81,35,50,0.8333333333333334
28040,1936,7620,Ciempozuelos,ciempozuelos,40.157955,-3.6192473,6331,1084,1077,1566,23773,22005,18394,9767,8043,5684,9186,0.7459317585301837
28041,339,2632,Cobeña,cobena,40.5683393,-3.5040753,1542,495,434,273,7009,38100,29465,2764,2217,2293,2905,0.8712006079027356
28042,71,495,Colmenar del Arroyo,colmenar-del-arroyo,40.4176079,-4.1987434,448,96,103,125,1632,24248,19953,1104,588,424,620,0.8565656565656565
28043,437,2061,Colmenar de Oreja,colmenar-de-oreja,40.1098823,-3.39055,1313,595,507,649,7946,18770,16203,4925,2979,1624,2710,0.7879670063076176
28044,317,2956,Colmenarejo,colmenarejo,40.5609399,-4.0167486,1506,554,546,514,8945,29084,23372,3749,3054,2639,3470,0.8927604871447903
28045,5057,17370,Colmenar Viejo,colmenar-viejo,40.6626481,-3.7710457,11782,2708,2747,2692,48020,30388,24195,18927,15873,12313,20062,0.7088658606793322
28046,302,2049,Collado Mediano,collado-mediano,40.6951303,-4.0299546,1235,556,522,427,6583,31384,24728,4255,2391,1747,2476,0.8526110297706199
28047,5117,22470,Collado Villalba,collado-villalba,40.6308775,-4.0055605,13462,3197,3693,4177,61597,26194,21288,27741,22055,17353,26647,0.7722741433021807
28048,12,222,Corpa,corpa,40.4254386,-3.2640205,62,29,24,46,672,NA,NA,407,258,210,268,0.9459459459459459
28049,6048,33004,Coslada,coslada,40.4260459,-3.5651646,27039,4232,4685,4798,84533,24653,20269,31567,30490,26956,37802,0.8167494849109199
28050,140,1780,Cubas de la Sagra,cubas-de-la-sagra,40.191512,-3.8372233,1249,507,368,276,5971,25183,20708,2220,1713,1640,2056,0.9213483146067416
28051,93,583,Chapinería,chapineria,40.3789786,-4.2115526,406,146,143,173,2214,24275,19912,1397,782,490,756,0.8404802744425386
28052,495,1416,Chinchón,chinchon,40.1402665,-3.4221687,1388,407,367,364,5294,20156,16866,3045,1969,921,1780,0.6504237288135594
28053,524,3674,Daganzo de Arriba,daganzo-de-arriba,40.5450298,-3.4574079,3180,623,691,491,9981,29772,23746,3691,3215,3150,4165,0.8573761567773543
28054,936,4997,"Escorial, El",escorial-el,40.4241189,-3.7037734,2575,1116,1018,776,15364,29735,23728,9836,5593,4061,5773,0.8126876125675405
28055,104,346,Estremera,estremera,40.1836518,-3.107101,815,94,67,85,1319,16589,14447,957,492,242,431,0.6994219653179191
28056,49,396,Fresnedillas de la Oliva,fresnedillas-de-la-oliva,40.4864017,-4.1722255,201,93,79,136,1547,21604,18010,851,603,347,532,0.8762626262626263
28057,81,693,Fresno de Torote,fresno-de-torote,40.5923751,-3.4123004,328,147,105,141,2044,24434,20145,1129,808,612,834,0.8831168831168831
28058,13848,72826,Fuenlabrada,fuenlabrada,40.2902056,-3.8035477,45291,9708,10248,13949,194171,21340,17878,70835,66655,58978,86775,0.8098481311619476
28059,370,2157,Fuente el Saz de Jarama,fuente-el-saz-de-jarama,40.6352139,-3.5107894,1886,475,554,392,6403,26561,21489,2858,2198,1787,2549,0.828465461288827
28060,90,523,Fuentidueña de Tajo,fuentiduena-de-tajo,40.1188967,-3.1616515,305,105,97,193,1936,18386,15807,1419,766,433,716,0.8279158699808795
28061,1440,10972,Galapagar,galapagar,40.5768377,-4.0058027,5635,2428,2326,1784,32404,32007,25221,15187,11187,9532,12756,0.8687568355814801
28062,13,102,Garganta de los Montes,garganta-de-los-montes,40.9220447,-3.6857781,75,37,30,19,351,NA,NA,658,179,89,121,0.8725490196078431
28063,19,86,Gargantilla del Lozoya y Pinilla de Buitrago,gargantilla-del-lozoya-y-pinilla-de-buitrago,40.9648298,-3.7079745,112,28,27,13,325,NA,NA,936,183,67,99,0.7790697674418605
28064,6,59,Gascones,gascones,41.0182682,-3.6417313,53,19,18,11,171,NA,NA,171,72,53,70,0.8983050847457628
28065,17366,61888,Getafe,getafe,40.3082504,-3.7323934,67557,8346,8169,10704,176659,25826,21126,68984,62509,44522,72592,0.7193963288521199
28066,527,2860,Griñón,grinon,40.2146067,-3.856943,5648,1067,1016,455,9938,28365,22799,3879,3185,2333,3315,0.8157342657342658
28067,296,1826,Guadalix de la Sierra,guadalix-de-la-sierra,40.7860007,-3.6952896,813,435,337,458,5982,25799,20865,3533,2101,1530,2284,0.8378970427163198
28068,1157,5153,Guadarrama,guadarrama,40.6731798,-4.0875528,3511,1011,1032,768,15488,27314,22118,9539,5967,3996,5921,0.7754705996506889
28069,4,19,"Hiruela, La",hiruela-la,40.4722377,-3.7188647,15,0,0,1,54,NA,NA,141,36,15,20,0.7894736842105263
28070,5,43,Horcajo de la Sierra-Aoslos,horcajo-de-la-sierra-aoslos,41.0551319,-3.5967937,43,11,10,5,143,NA,NA,385,90,38,48,0.8837209302325582
28071,5,23,Horcajuelo de la Sierra,horcajuelo-de-la-sierra,41.0602602,-3.5461651,31,7,5,1,86,NA,NA,165,43,18,24,0.782608695652174
28072,434,2456,Hoyo de Manzanares,hoyo-de-manzanares,40.6226405,-3.9082735,2153,618,561,344,7965,35480,27707,5003,2695,2022,2800,0.8232899022801303
28073,1018,6875,Humanes de Madrid,humanes-de-madrid,40.2639589,-3.8171953,9896,1155,2048,1464,19563,21031,17753,7075,6430,5857,8339,0.8519272727272728
28074,13874,63720,Leganés,leganes,40.3319506,-3.7686545,51932,8486,9200,11934,187173,23661,19625,75514,70949,49846,75654,0.7822661644695543
28075,507,3025,Loeches,loeches,40.3834821,-3.4170301,3922,601,668,564,8388,23749,19638,3563,2827,2518,3589,0.832396694214876
28076,44,168,Lozoya,lozoya,40.9553281,-3.7969976,126,43,45,28,576,NA,NA,787,289,124,196,0.7380952380952381
28078,3,13,Madarcos,madarcos,41.0476701,-3.5820602,16,8,0,1,47,NA,NA,78,26,10,14,0.7692307692307693
28079,917113,1128559,Madrid,madrid,40.4167754,-3.7037902,1913935,185530,287918,174212,3165541,34837,27129,1530957,1320531,211446,1302771,0.1873592785135735
28080,5236,23629,Majadahonda,majadahonda,40.4737586,-3.8683123,30841,5151,6292,2304,70755,48493,36173,24645,23069,18393,25933,0.778407888611452
28082,388,2731,Manzanares el Real,manzanares-el-real,40.7262858,-3.8646893,1261,606,491,500,8387,29740,23659,5533,3007,2343,3231,0.8579274990845844
28083,762,4438,Meco,meco,40.5539468,-3.3263003,5385,725,778,855,13426,26285,21345,5222,4370,3676,5293,0.8283010365029293
28084,1471,8259,Mejorada del Campo,mejorada-del-campo,40.396654,-3.4877129,5937,1389,1504,1592,22900,21957,18388,8502,7594,6788,9851,0.8218912701295557
28085,378,1737,Miraflores de la Sierra,miraflores-de-la-sierra,40.8140407,-3.7663657,1048,441,427,419,5754,27366,21942,4816,2280,1359,2156,0.7823834196891192
28086,431,2845,"Molar, El",molar-el-madrid,40.452722,-3.70687,1298,519,485,514,8263,23736,19491,3491,2991,2414,3359,0.8485061511423551
28087,229,1343,"Molinos, Los",molinos-los,40.4579662,-3.7032858,727,333,311,262,4373,30039,23827,2871,1642,1114,1605,0.8294862248696947
28088,40,76,Montejo de la Sierra,montejo-de-la-sierra,41.0595052,-3.5297283,154,23,29,11,359,NA,NA,411,126,36,87,0.47368421052631576
28089,255,1580,Moraleja de Enmedio,moraleja-de-enmedio,40.2596189,-3.8606776,2138,514,533,288,4984,23587,19576,1779,1623,1325,1868,0.8386075949367089
28090,703,4249,Moralzarzal,moralzarzal,40.6763507,-3.9704867,2303,783,780,582,12372,33015,26097,6045,4263,3546,4831,0.8345493057189927
28091,500,2195,Morata de Tajuña,morata-de-tajuna,40.2299024,-3.4372149,1123,459,327,603,7548,20730,17475,3394,2673,1695,2798,0.7722095671981777
28092,13572,72692,Móstoles,mostoles,40.3232129,-3.8676291,40674,9522,9280,13768,205614,22808,18976,79592,74951,59120,86460,0.8132944478071865
28093,238,941,Navacerrada,navacerrada,40.7285661,-4.0146372,650,238,225,112,2885,31882,25085,2297,1105,703,1053,0.7470775770456961
28094,53,420,Navalafuente,navalafuente,40.8233408,-3.6748439,211,84,59,119,1266,24013,19707,1184,443,367,539,0.8738095238095238
28095,86,735,Navalagamella,navalagamella,40.4685147,-4.1222221,289,141,112,187,2423,22183,18484,1403,850,649,922,0.8829931972789116
28096,1868,8816,Navalcarnero,navalcarnero,40.285599,-4.0166526,11159,1704,1567,1950,26954,24552,20245,12065,8846,6948,10766,0.7881125226860254
28097,3,33,Navarredonda y San Mamés,navarredonda-y-san-mames,40.9906493,-3.7260317,20,13,12,4,132,NA,NA,323,81,30,37,0.9090909090909091
28099,167,684,Navas del Rey,navas-del-rey,40.3877545,-4.249999,507,157,168,266,2659,20851,17672,1736,971,517,950,0.7558479532163743
