location_id,statistic_zone_id,province_name,statistic_zone_name,municipality_slug,municipality_lat,municipality_lon,municipality_name
19024,12,Guadalajara,Municipios de la Provincia de Guadalajara,alovera,40.5961557,-3.2477262,Alovera
19046,12,Guadalajara,Municipios de la Provincia de Guadalajara,azuqueca-de-henares,40.5648765,-3.2680616,Azuqueca de Henares
19058,12,Guadalajara,Municipios de la Provincia de Guadalajara,cabanillas-del-campo,40.6378501,-3.2307113,Cabanillas del Campo
19071,12,Guadalajara,Municipios de la Provincia de Guadalajara,el-casar,40.7058621,-3.427332,El casar
19105,12,Guadalajara,Municipios de la Provincia de Guadalajara,chiloeches,40.5723871,-3.1637624,Chiloeches
19117,12,Guadalajara,Municipios de la Provincia de Guadalajara,fontanar,40.7267596,-3.1767108,Fontanar
19126,12,Guadalajara,Municipios de la Provincia de Guadalajara,galapagos,40.6916964,-3.3426697,Galápagos
19130,12,Guadalajara,Municipios de la Provincia de Guadalajara,guadalajara,40.632489,-3.16017,Guadalajara
19160,12,Guadalajara,Municipios de la Provincia de Guadalajara,loranca-de-tajuna,40.4476695,-3.114935,Loranca de Tajuña
19171,12,Guadalajara,Municipios de la Provincia de Guadalajara,marchamalo,40.6678056,-3.2018198,Marchamalo
19220,12,Guadalajara,Municipios de la Provincia de Guadalajara,pioz,40.463533,-3.1748281,Pioz
19225,12,Guadalajara,Municipios de la Provincia de Guadalajara,pozo-de-guadalajara,40.4951443,-3.1811039,Pozo de Guadalajara
19230,12,Guadalajara,Municipios de la Provincia de Guadalajara,quer,40.6079824,-3.2778796,Quer
19280,12,Guadalajara,Municipios de la Provincia de Guadalajara,torrejon-del-rey,40.6456116,-3.3370028,Torrejón del Rey
19286,12,Guadalajara,Municipios de la Provincia de Guadalajara,tortola-de-henares,40.7059844,-3.1259046,Tórtola de Henares
19297,12,Guadalajara,Municipios de la Provincia de Guadalajara,valdarachas,40.5166525,-3.1262181,Valdarachas
19300,12,Guadalajara,Municipios de la Provincia de Guadalajara,valdeaveruelo,40.6359766,-3.3193764,Valdeaveruelo
19319,12,Guadalajara,Municipios de la Provincia de Guadalajara,villanueva-de-la-torre,40.58636509999999,-3.2991864,Villanueva de la Torre
19326,12,Guadalajara,Municipios de la Provincia de Guadalajara,yebes,40.5335723,-3.1111745,Yebes
19331,12,Guadalajara,Municipios de la Provincia de Guadalajara,yunquera-de-henares,40.7523479,-3.1666708,Yunquera de Henares
28001,06,Madrid,Sierra Norte,acebeda-la,40.3405608,-3.7170023,"Acebeda, La"
28002,03,Madrid,Este Metropolitano,ajalvir,40.5302674,-3.4839237,Ajalvir
28003,06,Madrid,Sierra Norte,alameda-del-valle,40.9187866,-3.8439011,Alameda del Valle
28004,09,Madrid,Sudoeste Comunidad,alamo-el,40.2312091,-3.9942211,"Álamo, El"
28005,03,Madrid,Este Metropolitano,alcala-de-henares,40.4819791,-3.3635421,Alcalá de Henares
28006,02,Madrid,Norte Metropolitano,alcobendas,40.5372512,-3.6372245,Alcobendas
28007,04,Madrid,Sur Metropolitano,alcorcon,40.3468454,-3.8278443,Alcorcón
28008,09,Madrid,Sudoeste Comunidad,aldea-del-fresno,40.3208765,-4.1987434,Aldea del Fresno
28009,02,Madrid,Norte Metropolitano,algete,40.5964617,-3.5016452,Algete
28010,11,Madrid,Sierra Central,alpedrete,40.6621635,-4.031169,Alpedrete
28011,08,Madrid,Sudeste Comunidad,ambite,40.3283739,-3.1823592,Ambite
28012,08,Madrid,Sudeste Comunidad,anchuelo,40.4647291,-3.2690503,Anchuelo
28013,04,Madrid,Sur Metropolitano,aranjuez,40.0305018,-3.6040527,Aranjuez
28014,03,Madrid,Este Metropolitano,arganda-del-rey,40.3064463,-3.4479063,Arganda del Rey
28015,09,Madrid,Sudoeste Comunidad,arroyomolinos-madrid,40.2783308,-3.9215541,Arroyomolinos
28016,06,Madrid,Sierra Norte,atazar-el,40.3988486,-3.6861415,"Atazar, El"
28017,09,Madrid,Sudoeste Comunidad,batres,40.2098126,-3.9199616,Batres
28018,11,Madrid,Sierra Central,becerril-de-la-sierra,40.7102483,-3.9954969,Becerril de la Sierra
28019,08,Madrid,Sudeste Comunidad,belmonte-de-tajo,40.1344349,-3.3376324,Belmonte de Tajo
28020,06,Madrid,Sierra Norte,berzosa-del-lozoya,40.9755539,-3.5236688,Berzosa del Lozoya
28021,06,Madrid,Sierra Norte,berrueco-el,40.8893089,-3.5629234,"Berrueco, El"
28022,05,Madrid,Oeste Metropolitano,boadilla-del-monte,40.4122794,-3.8887699,Boadilla del Monte
28023,11,Madrid,Sierra Central,boalo-el,40.3659918,-3.6161069,"Boalo, El"
28024,06,Madrid,Sierra Norte,braojos,41.0402585,-3.6429982,Braojos
28025,08,Madrid,Sudeste Comunidad,brea-de-tajo,40.2295666,-3.1096078,Brea de Tajo
28026,05,Madrid,Oeste Metropolitano,brunete,40.4043103,-3.9993244,Brunete
28027,06,Madrid,Sierra Norte,buitrago-del-lozoya,40.989823,-3.6383114,Buitrago del Lozoya
28028,06,Madrid,Sierra Norte,bustarviejo,40.857568,-3.7092432,Bustarviejo
28029,06,Madrid,Sierra Norte,cabanillas-de-la-sierra,40.8187877,-3.6246658,Cabanillas de la Sierra
28030,06,Madrid,Sierra Norte,cabrera-la,40.47253,-3.72044,"Cabrera, La"
28031,10,Madrid,Sierra Sur,cadalso-de-los-vidrios,40.3015944,-4.4426499,Cadalso de los Vidrios
28032,07,Madrid,Nordeste Comunidad,camarma-de-esteruelas,40.5474107,-3.3766851,Camarma de Esteruelas
28033,08,Madrid,Sudeste Comunidad,campo-real,40.3390034,-3.3833163,Campo Real
28034,06,Madrid,Sierra Norte,canencia,40.9070688,-3.7397005,Canencia
28035,08,Madrid,Sudeste Comunidad,carabana,40.2567009,-3.2376227,Carabaña
28036,09,Madrid,Sudoeste Comunidad,casarrubuelos,40.1709362,-3.8318182,Casarrubuelos
28037,10,Madrid,Sierra Sur,cenicientos,40.2624728,-4.4658148,Cenicientos
28038,11,Madrid,Sierra Central,cercedilla,40.7406497,-4.0568488,Cercedilla
28039,06,Madrid,Sierra Norte,cervera-de-buitrago,40.9218597,-3.5300444,Cervera de Buitrago
28040,04,Madrid,Sur Metropolitano,ciempozuelos,40.157955,-3.6192473,Ciempozuelos
28041,02,Madrid,Norte Metropolitano,cobena,40.5683393,-3.5040753,Cobeña
28042,10,Madrid,Sierra Sur,colmenar-del-arroyo,40.4176079,-4.1987434,Colmenar del Arroyo
28043,08,Madrid,Sudeste Comunidad,colmenar-de-oreja,40.1098823,-3.39055,Colmenar de Oreja
28044,11,Madrid,Sierra Central,colmenarejo,40.5609399,-4.0167486,Colmenarejo
