origen_destino,residencia,trabajo,zona_residencia,zona_trabajo,trabajadores
19024 - 28002,19024,28002,12,03,19
19024 - 28003,19024,28003,12,06,1
19024 - 28004,19024,28004,12,09,3
19024 - 28005,19024,28005,12,03,382
19024 - 28006,19024,28006,12,02,81
19024 - 28007,19024,28007,12,04,17
19024 - 28008,19024,28008,12,09,1
19024 - 28009,19024,28009,12,02,6
19024 - 28011,19024,28011,12,08,2
19024 - 28012,19024,28012,12,08,2
19024 - 28013,19024,28013,12,04,11
19024 - 28014,19024,28014,12,03,22
19024 - 28015,19024,28015,12,09,5
19024 - 28022,19024,28022,12,05,6
19024 - 28024,19024,28024,12,06,3
19024 - 28032,19024,28032,12,07,10
19024 - 28033,19024,28033,12,08,2
19024 - 28040,19024,28040,12,04,5
19024 - 28041,19024,28041,12,02,2
19024 - 28043,19024,28043,12,08,2
19024 - 28044,19024,28044,12,11,1
19024 - 28045,19024,28045,12,02,2
19024 - 28046,19024,28046,12,11,1
19024 - 28047,19024,28047,12,05,5
19024 - 28048,19024,28048,12,08,1
19024 - 28049,19024,28049,12,03,52
19024 - 28050,19024,28050,12,09,1
19024 - 28053,19024,28053,12,07,6
19024 - 28058,19024,28058,12,04,11
19024 - 28059,19024,28059,12,07,1
19024 - 28060,19024,28060,12,08,1
19024 - 28061,19024,28061,12,05,2
19024 - 28064,19024,28064,12,06,1
19024 - 28065,19024,28065,12,04,18
19024 - 28066,19024,28066,12,09,1
19024 - 28068,19024,28068,12,11,6
19024 - 28073,19024,28073,12,04,1
19024 - 28074,19024,28074,12,04,6
19024 - 28075,19024,28075,12,08,8
19024 - 28079,19024,28079,12,01,593
19024 - 28080,19024,28080,12,05,3
19024 - 28083,19024,28083,12,07,81
19024 - 28084,19024,28084,12,03,2
19024 - 28090,19024,28090,12,11,1
19024 - 28092,19024,28092,12,04,2
19024 - 28096,19024,28096,12,09,2
19024 - 28104,19024,28104,12,03,4
19024 - 28106,19024,28106,12,04,3
19024 - 28113,19024,28113,12,04,6
19024 - 28115,19024,28115,12,05,9
19024 - 28123,19024,28123,12,03,4
19024 - 28127,19024,28127,12,05,7
19024 - 28129,19024,28129,12,02,3
19024 - 28130,19024,28130,12,03,31
19024 - 28134,19024,28134,12,02,15
19024 - 28137,19024,28137,12,08,3
19024 - 28144,19024,28144,12,11,1
19024 - 28148,19024,28148,12,03,49
19024 - 28154,19024,28154,12,08,4
19024 - 28156,19024,28156,12,07,2
19024 - 28161,19024,28161,12,04,2
19024 - 28167,19024,28167,12,03,7
19024 - 28172,19024,28172,12,08,3
19024 - 28176,19024,28176,12,05,1
19024 - 28181,19024,28181,12,05,1
19024 - 28901,19024,28901,12,06,2
19024 - 28903,19024,28903,12,02,19
19046 - 28002,19046,28002,12,03,37
19046 - 28004,19046,28004,12,09,16
19046 - 28005,19046,28005,12,03,1182
19046 - 28006,19046,28006,12,02,234
19046 - 28007,19046,28007,12,04,31
19046 - 28008,19046,28008,12,09,4
19046 - 28009,19046,28009,12,02,21
19046 - 28011,19046,28011,12,08,1
19046 - 28012,19046,28012,12,08,3
19046 - 28013,19046,28013,12,04,42
19046 - 28014,19046,28014,12,03,37
19046 - 28015,19046,28015,12,09,12
19046 - 28016,19046,28016,12,06,1
19046 - 28021,19046,28021,12,06,1
19046 - 28022,19046,28022,12,05,8
19046 - 28024,19046,28024,12,06,10
19046 - 28026,19046,28026,12,05,1
19046 - 28032,19046,28032,12,07,55
19046 - 28033,19046,28033,12,08,1
19046 - 28037,19046,28037,12,10,2
19046 - 28038,19046,28038,12,11,2
19046 - 28040,19046,28040,12,04,12
19046 - 28041,19046,28041,12,02,10
19046 - 28042,19046,28042,12,10,2
19046 - 28043,19046,28043,12,08,2
19046 - 28044,19046,28044,12,11,1
19046 - 28045,19046,28045,12,02,19
19046 - 28046,19046,28046,12,11,2
19046 - 28047,19046,28047,12,05,12
19046 - 28048,19046,28048,12,08,2
19046 - 28049,19046,28049,12,03,127
19046 - 28050,19046,28050,12,09,3
19046 - 28052,19046,28052,12,08,1
19046 - 28053,19046,28053,12,07,18
19046 - 28057,19046,28057,12,07,1
19046 - 28058,19046,28058,12,04,29
19046 - 28059,19046,28059,12,07,7
19046 - 28060,19046,28060,12,08,1
19046 - 28061,19046,28061,12,05,6
19046 - 28065,19046,28065,12,04,50
19046 - 28066,19046,28066,12,09,3
19046 - 28067,19046,28067,12,06,1
19046 - 28068,19046,28068,12,11,2
19046 - 28073,19046,28073,12,04,16
19046 - 28074,19046,28074,12,04,27
19046 - 28075,19046,28075,12,08,19
19046 - 28079,19046,28079,12,01,1666
19046 - 28080,19046,28080,12,05,16
19046 - 28083,19046,28083,12,07,222
19046 - 28084,19046,28084,12,03,13
19046 - 28089,19046,28089,12,09,4
19046 - 28090,19046,28090,12,11,1
19046 - 28092,19046,28092,12,04,8
19046 - 28095,19046,28095,12,10,1
19046 - 28096,19046,28096,12,09,5
19046 - 28100,19046,28100,12,08,1
19046 - 28104,19046,28104,12,03,11
19046 - 28106,19046,28106,12,04,9
19046 - 28113,19046,28113,12,04,11
19046 - 28115,19046,28115,12,05,52
19046 - 28123,19046,28123,12,03,27
19046 - 28127,19046,28127,12,05,33
19046 - 28129,19046,28129,12,02,8
19046 - 28130,19046,28130,12,03,82
19046 - 28132,19046,28132,12,04,1
19046 - 28134,19046,28134,12,02,37
19046 - 28137,19046,28137,12,08,13
19046 - 28138,19046,28138,12,06,1
19046 - 28145,19046,28145,12,07,2
19046 - 28146,19046,28146,12,08,1
19046 - 28148,19046,28148,12,03,149
19046 - 28154,19046,28154,12,08,12
19046 - 28156,19046,28156,12,07,6
19046 - 28161,19046,28161,12,04,9
19046 - 28162,19046,28162,12,07,3
19046 - 28165,19046,28165,12,08,3
19046 - 28167,19046,28167,12,03,1
19046 - 28169,19046,28169,12,06,1
19046 - 28172,19046,28172,12,08,19
19046 - 28177,19046,28177,12,11,2
19046 - 28181,19046,28181,12,05,1
19046 - 28903,19046,28903,12,02,53
19058 - 28002,19058,28002,12,03,6
19058 - 28004,19058,28004,12,09,4
19058 - 28005,19058,28005,12,03,173
19058 - 28006,19058,28006,12,02,34
19058 - 28007,19058,28007,12,04,6
19058 - 28009,19058,28009,12,02,3
19058 - 28012,19058,28012,12,08,2
19058 - 28013,19058,28013,12,04,16
19058 - 28014,19058,28014,12,03,5
19058 - 28015,19058,28015,12,09,2
19058 - 28022,19058,28022,12,05,2
19058 - 28025,19058,28025,12,08,1
19058 - 28032,19058,28032,12,07,4
19058 - 28033,19058,28033,12,08,1
19058 - 28038,19058,28038,12,11,1
19058 - 28041,19058,28041,12,02,1
19058 - 28045,19058,28045,12,02,2
19058 - 28048,19058,28048,12,08,1
19058 - 28049,19058,28049,12,03,17
19058 - 28053,19058,28053,12,07,3
19058 - 28058,19058,28058,12,04,3
19058 - 28059,19058,28059,12,07,1
19058 - 28061,19058,28061,12,05,1
19058 - 28065,19058,28065,12,04,13
19058 - 28066,19058,28066,12,09,1
19058 - 28067,19058,28067,12,06,2
19058 - 28074,19058,28074,12,04,9
19058 - 28079,19058,28079,12,01,395
19058 - 28080,19058,28080,12,05,3
19058 - 28083,19058,28083,12,07,30
19058 - 28084,19058,28084,12,03,5
19058 - 28092,19058,28092,12,04,2
19058 - 28100,19058,28100,12,08,1
19058 - 28104,19058,28104,12,03,3
19058 - 28113,19058,28113,12,04,3
19058 - 28115,19058,28115,12,05,10
19058 - 28123,19058,28123,12,03,2
19058 - 28127,19058,28127,12,05,9
19058 - 28129,19058,28129,12,02,1
19058 - 28130,19058,28130,12,03,10
19058 - 28132,19058,28132,12,04,2
19058 - 28134,19058,28134,12,02,5
19058 - 28148,19058,28148,12,03,15
19058 - 28154,19058,28154,12,08,2
19058 - 28161,19058,28161,12,04,4
19058 - 28169,19058,28169,12,06,1
19058 - 28176,19058,28176,12,05,1
19058 - 28903,19058,28903,12,02,12
19071 - 28001,19071,28001,12,06,5
19071 - 28002,19071,28002,12,03,16
19071 - 28004,19071,28004,12,09,8
19071 - 28005,19071,28005,12,03,154
19071 - 28006,19071,28006,12,02,213
19071 - 28007,19071,28007,12,04,24
19071 - 28009,19071,28009,12,02,90
19071 - 28010,19071,28010,12,11,1
19071 - 28013,19071,28013,12,04,11
19071 - 28014,19071,28014,12,03,1
19071 - 28021,19071,28021,12,06,2
19071 - 28022,19071,28022,12,05,5
19071 - 28024,19071,28024,12,06,5
19071 - 28027,19071,28027,12,06,1
19071 - 28032,19071,28032,12,07,3
19071 - 28036,19071,28036,12,09,1
19071 - 28037,19071,28037,12,10,1
19071 - 28040,19071,28040,12,04,3
19071 - 28041,19071,28041,12,02,9
19071 - 28042,19071,28042,12,10,3
19071 - 28045,19071,28045,12,02,10
19071 - 28046,19071,28046,12,11,2
19071 - 28047,19071,28047,12,05,9
19071 - 28049,19071,28049,12,03,25
19071 - 28053,19071,28053,12,07,15
19071 - 28057,19071,28057,12,07,6
19071 - 28058,19071,28058,12,04,4
19071 - 28059,19071,28059,12,07,25
19071 - 28061,19071,28061,12,05,1
19071 - 28065,19071,28065,12,04,16
19071 - 28066,19071,28066,12,09,17
19071 - 28073,19071,28073,12,04,2
19071 - 28074,19071,28074,12,04,16
19071 - 28075,19071,28075,12,08,1
19071 - 28079,19071,28079,12,01,764
19071 - 28080,19071,28080,12,05,7
19071 - 28083,19071,28083,12,07,7
19071 - 28084,19071,28084,12,03,1
19071 - 28086,19071,28086,12,07,1
19071 - 28092,19071,28092,12,04,3
19071 - 28104,19071,28104,12,03,14
19071 - 28107,19071,28107,12,06,2
19071 - 28113,19071,28113,12,04,1
19071 - 28115,19071,28115,12,05,28
19071 - 28121,19071,28121,12,06,2
19071 - 28122,19071,28122,12,07,3
19071 - 28123,19071,28123,12,03,8
19071 - 28127,19071,28127,12,05,19
19071 - 28129,19071,28129,12,02,6
19071 - 28130,19071,28130,12,03,7
19071 - 28134,19071,28134,12,02,117
19071 - 28145,19071,28145,12,07,3
19071 - 28148,19071,28148,12,03,12
19071 - 28151,19071,28151,12,06,2
19071 - 28156,19071,28156,12,07,2
19071 - 28161,19071,28161,12,04,2
19071 - 28162,19071,28162,12,07,20
19071 - 28164,19071,28164,12,07,8
19071 - 28169,19071,28169,12,06,1
19071 - 28176,19071,28176,12,05,2
19071 - 28903,19071,28903,12,02,23
19105 - 28002,19105,28002,12,03,5
19105 - 28004,19105,28004,12,09,1
19105 - 28005,19105,28005,12,03,67
19105 - 28006,19105,28006,12,02,21
19105 - 28007,19105,28007,12,04,4
19105 - 28013,19105,28013,12,04,3
19105 - 28014,19105,28014,12,03,1
19105 - 28022,19105,28022,12,05,2
19105 - 28032,19105,28032,12,07,1
19105 - 28037,19105,28037,12,10,1
19105 - 28040,19105,28040,12,04,1
19105 - 28041,19105,28041,12,02,2
19105 - 28045,19105,28045,12,02,1
19105 - 28047,19105,28047,12,05,3
19105 - 28049,19105,28049,12,03,9
19105 - 28053,19105,28053,12,07,2
19105 - 28055,19105,28055,12,08,1
19105 - 28058,19105,28058,12,04,1
19105 - 28065,19105,28065,12,04,9
19105 - 28073,19105,28073,12,04,2
19105 - 28074,19105,28074,12,04,5
19105 - 28075,19105,28075,12,08,3
19105 - 28079,19105,28079,12,01,168
19105 - 28080,19105,28080,12,05,1
19105 - 28083,19105,28083,12,07,9
19105 - 28113,19105,28113,12,04,1
19105 - 28115,19105,28115,12,05,4
19105 - 28122,19105,28122,12,07,1
19105 - 28123,19105,28123,12,03,1
19105 - 28127,19105,28127,12,05,2
19105 - 28130,19105,28130,12,03,6
19105 - 28134,19105,28134,12,02,1
19105 - 28136,19105,28136,12,08,1
19105 - 28148,19105,28148,12,03,8
19105 - 28162,19105,28162,12,07,1
19105 - 28172,19105,28172,12,08,2
19105 - 28903,19105,28903,12,02,6
19117 - 28002,19117,28002,12,03,3
19117 - 28005,19117,28005,12,03,29
19117 - 28006,19117,28006,12,02,8
19117 - 28007,19117,28007,12,04,9
19117 - 28013,19117,28013,12,04,4
19117 - 28014,19117,28014,12,03,1
19117 - 28024,19117,28024,12,06,1
19117 - 28032,19117,28032,12,07,1
19117 - 28045,19117,28045,12,02,1
19117 - 28053,19117,28053,12,07,2
19117 - 28065,19117,28065,12,04,2
19117 - 28079,19117,28079,12,01,51
19117 - 28083,19117,28083,12,07,6
19117 - 28106,19117,28106,12,04,1
19117 - 28115,19117,28115,12,05,2
19117 - 28127,19117,28127,12,05,1
19117 - 28130,19117,28130,12,03,3
19117 - 28148,19117,28148,12,03,1
19117 - 28172,19117,28172,12,08,2
19117 - 28903,19117,28903,12,02,2
19126 - 28002,19126,28002,12,03,10
19126 - 28005,19126,28005,12,03,56
19126 - 28006,19126,28006,12,02,25
19126 - 28007,19126,28007,12,04,7
19126 - 28009,19126,28009,12,02,9
19126 - 28011,19126,28011,12,08,1
19126 - 28013,19126,28013,12,04,2
19126 - 28014,19126,28014,12,03,6
19126 - 28022,19126,28022,12,05,2
19126 - 28032,19126,28032,12,07,3
19126 - 28040,19126,28040,12,04,1
19126 - 28041,19126,28041,12,02,3
19126 - 28045,19126,28045,12,02,2
19126 - 28049,19126,28049,12,03,4
19126 - 28053,19126,28053,12,07,5
19126 - 28058,19126,28058,12,04,1
19126 - 28059,19126,28059,12,07,1
19126 - 28065,19126,28065,12,04,2
19126 - 28074,19126,28074,12,04,2
19126 - 28075,19126,28075,12,08,1
19126 - 28079,19126,28079,12,01,146
19126 - 28080,19126,28080,12,05,2
19126 - 28083,19126,28083,12,07,5
19126 - 28092,19126,28092,12,04,1
19126 - 28096,19126,28096,12,09,1
19126 - 28104,19126,28104,12,03,6
19126 - 28108,19126,28108,12,06,1
19126 - 28115,19126,28115,12,05,6
19126 - 28122,19126,28122,12,07,2
19126 - 28123,19126,28123,12,03,1
19126 - 28127,19126,28127,12,05,2
19126 - 28130,19126,28130,12,03,4
19126 - 28134,19126,28134,12,02,3
19126 - 28145,19126,28145,12,07,1
19126 - 28148,19126,28148,12,03,15
19126 - 28149,19126,28149,12,09,1
19126 - 28154,19126,28154,12,08,1
19126 - 28162,19126,28162,12,07,2
19126 - 28164,19126,28164,12,07,1
19126 - 28172,19126,28172,12,08,1
19126 - 28903,19126,28903,12,02,5
19130 - 28001,19130,28001,12,06,4
19130 - 28002,19130,28002,12,03,51
19130 - 28003,19130,28003,12,06,1
19130 - 28004,19130,28004,12,09,30
19130 - 28005,19130,28005,12,03,1320
19130 - 28006,19130,28006,12,02,398
19130 - 28007,19130,28007,12,04,51
19130 - 28009,19130,28009,12,02,24
19130 - 28010,19130,28010,12,11,1
19130 - 28011,19130,28011,12,08,1
19130 - 28012,19130,28012,12,08,3
19130 - 28013,19130,28013,12,04,98
